review_rank,source_index,date,model_partition,pca_reconstruction_error,anomaly_score_ratio,is_final_pca_anomaly,anomaly_score_margin,anomaly_score_excess_pct,anomaly_direction,anomaly_severity,track_id,artist,country,streams,position,severity_rank,is_high_priority_review,priority_score
1044,4202237,2022-08-18,Test,0.24401916808847707,2.5638669019885376,True,0.14884294505630033,156.38669019885376,Positive,Very High,6JIC3hbC28JZKZ8AlAqX8h,"['Elton John', 'Dua Lipa', 'PNAU']",uy,29944,85,3,True,6.409667254971344
1045,5205047,2021-03-25,Validation,0.24398739635944366,2.563533081964784,True,0.14881117332726693,156.3533081964784,Negative,Very High,7lpDKDfOkSlse5fDZ1s37L,"['Inkonnu', 'Hindi Zahra']",ma,44260,39,3,True,6.40883270491196
1046,1255596,2015-07-23,Training,0.2439359873533249,2.5629929364906205,True,0.14875976432114815,156.29929364906207,Positive,Very High,21BYhl07wWqGRQaj7sUxdV,['Måns Zelmerlöw'],fi,82894,54,3,True,6.407482341226551
1047,1222627,2016-06-16,Training,0.24390198290348053,2.562635657658145,True,0.1487257598713038,156.26356576581452,Negative,Very High,1xznGGDReH1oQq0xzbwXa3,"['Drake', 'Wizkid', 'Kyla']",ie,255225,1,3,True,6.406589144145363
1048,2351348,2020-01-16,Validation,0.24387425184249878,2.5623442922299082,True,0.14869802881032204,156.23442922299083,Positive,Very High,3ZCTVFBt2Brf31RLEnCkWJ,['Billie Eilish'],nl,1067977,11,3,True,6.405860730574771
1049,4292487,2017-04-27,Training,0.24385541677474976,2.5621463954532873,True,0.14867919374257302,156.21463954532874,Negative,Very High,6RUKPb4LETWmmr3iAEQktW,"['The Chainsmokers', 'Coldplay']",lv,21673,3,3,True,6.405365988633218
1050,4810565,2021-05-06,Validation,0.24369797110557556,2.560492141227198,True,0.14852174807339882,156.0492141227198,Negative,Very High,776AftMmFFAWUIEAb3lHhw,['Måneskin'],it,1033324,31,3,True,6.401230353067994
1051,5157418,2021-12-16,Test,0.24368215328649687,2.5603259461568877,True,0.14850593025432013,156.03259461568877,Positive,Very High,7hynhxDoDpgMIV12JuVtNa,"['J Balvin', 'Bad Bunny', 'Marciano Cantero']",ni,9693,120,3,True,6.400814865392219
1052,5030465,2022-08-18,Test,0.2435069238492186,2.558484840976458,True,0.14833070081704186,155.84848409764578,Positive,Very High,7MXVkk9YMctZqd1Srtv4MB,"['The Weeknd', 'Daft Punk']",cy,6447,81,3,True,6.396212102441145
1053,1082258,2015-08-20,Training,0.2434556633234024,2.5579462555589756,True,0.14827944029122567,155.79462555589757,Negative,Very High,1mSzZKMIPZIkn3jFV7v62b,['Charly Black'],cr,33599,8,3,True,6.394865638897439
1054,4361166,2018-06-21,Training,0.24343560636043549,2.557735520542099,True,0.14825938332825875,155.7735520542099,Negative,Very High,6WbADFqMvR8N5u0BvtsWQE,"['Avicii', 'Sandro Cavazza']",vn,6044,140,3,True,6.394338801355247
1055,4381956,2016-07-07,Training,0.24342933297157288,2.5576696071378606,True,0.14825310993939614,155.76696071378606,Negative,Very High,6YZdkObH88npeKrrkb8Ggf,"['Enrique Iglesias', 'Wisin']",ad,1302,2,3,True,6.394174017844652
1056,4669188,2015-07-16,Training,0.24322621524333954,2.5555354845412466,True,0.1480499922111628,155.55354845412467,Negative,Very High,6ukMqDxnOPOgoHdak7Kyp3,"['Charlie Puth', 'Meghan Trainor']",sg,19564,32,3,True,6.388838711353117
1057,294180,2023-02-16,Test,0.2431634361020149,2.5548758750366396,True,0.14798721306983817,155.48758750366397,Negative,Very High,0Sfn2TYbpQtCGMBf6C0Y6T,"['Quevedo', 'Myke Towers']",es,3797553,4,3,True,6.387189687591599
1058,2351060,2020-01-16,Validation,0.24304795265197754,2.5536625105390978,True,0.1478717296198008,155.36625105390976,Positive,Very High,3ZCTVFBt2Brf31RLEnCkWJ,['Billie Eilish'],lv,29292,3,3,True,6.384156276347745
1059,4109240,2015-09-17,Training,0.2430170625448227,2.5533379535628833,True,0.14784083951264596,155.33379535628833,Positive,Very High,6DUdDIRgLqCGq1DwkNWQTN,['Maluma'],ar,56511,88,3,True,6.383344883907208
1060,3682576,2016-11-24,Training,0.24289579689502716,2.5520638364994803,True,0.14771957386285042,155.20638364994804,Negative,Very High,5aAx2yezTd8zXrkmtKl66Z,"['The Weeknd', 'Daft Punk']",ee,20229,2,3,True,6.380159591248701
1061,5030844,2016-11-24,Training,0.24289579689502716,2.5520638364994803,True,0.14771957386285042,155.20638364994804,Negative,Very High,7MXVkk9YMctZqd1Srtv4MB,"['The Weeknd', 'Daft Punk']",ee,20229,2,3,True,6.380159591248701
1062,1190897,2022-08-18,Test,0.24287689515205618,2.551865239177914,True,0.14770067211987944,155.18652391779142,Negative,Very High,1v7L65Lzy0j0vdpRjJewt1,['Eminem'],lu,3457,146,3,True,6.3796630979447855
1063,4162449,2015-07-23,Training,0.24285316467285156,2.5516159071656888,True,0.14767694164067482,155.16159071656887,Positive,Very High,6HFbq7cewJ7rPiffV0ciil,['Coldplay'],cr,9768,80,3,True,6.379039767914222
1064,1178288,2015-07-16,Training,0.24256816506385803,2.5486214659080524,True,0.1473919420316813,154.86214659080525,Negative,Very High,1u6LOWtdWA2wwa3CryIBsS,"['Armin van Buuren', 'Mr. Probz']",hk,1018,140,3,True,6.371553664770131
1065,4069954,2015-07-30,Training,0.24254967272281647,2.5484271701012595,True,0.14737344969063973,154.84271701012597,Negative,Very High,69uKYDeTWn1wFssqP6OZjb,['Luan Santana'],br,106037,39,3,True,6.371067925253149
1066,4618901,2015-07-16,Training,0.24242687225341797,2.5471369269555844,True,0.14725064922124123,154.71369269555845,Negative,Very High,6qC8Jj1XOxknPm8N7EbzKX,['Jessie J'],gb,269536,37,3,True,6.367842317388961
1067,3206121,2022-05-12,Test,0.24240427721366123,2.5468995248078956,True,0.1472280541814845,154.68995248078957,Positive,Very High,4t3gM4Rl5rz5du0Qn2Yd8K,['Systur'],is,32759,3,3,True,6.367248812019739
1068,763390,2016-08-18,Training,0.24238480627536774,2.546694947050204,True,0.147208583243191,154.6694947050204,Positive,Very High,1ClQpnPU9M6mQpXGvhGPvQ,['Daddy Yankee'],ec,8181,193,3,True,6.36673736762551
1069,314033,2020-01-16,Validation,0.24208864569664001,2.5435832394273072,True,0.14691242266446328,154.35832394273072,Negative,Very High,0UuqwLM3UFmwcXSJgfFHvr,"['thasup', 'Nayt']",it,550471,70,3,True,6.358958098568268
1070,2937870,2018-08-30,Training,0.24193979799747467,2.542019322574723,True,0.14676357496529793,154.20193225747232,Negative,Very High,4UKCKdYiLN6IMA5ZESUTL7,['XXXTENTACION'],nz,48439,117,3,True,6.355048306436808
1071,3721606,2015-09-24,Training,0.24192045629024506,2.5418161026253134,True,0.14674423325806832,154.18161026253134,Positive,Very High,5eWgDlp3k6Tb5RD8690s6I,['Maroon 5'],bo,6640,14,3,True,6.354540256563284
1072,4838355,2017-06-22,Training,0.241914764046669,2.5417562952133914,True,0.14673854101449227,154.17562952133915,Negative,Very High,79cuOz3SPQTuFrp8WgftAu,['Shawn Mendes'],hu,48581,13,3,True,6.354390738033478
1073,4404690,2015-07-09,Training,0.24187013506889343,2.5412873863162555,True,0.1466939120367167,154.12873863162554,Negative,Very High,6Zo3wgDE076K2AuiGZF3CS,"['Pitbull', 'Chris Brown']",es,116837,69,3,True,6.353218465790639
1074,2396460,2015-07-30,Training,0.24167267978191376,2.5392127580037522,True,0.14649645674973702,153.9212758003752,Positive,Very High,3dEFa9KjOLEZl980ctEEv1,['Florence + The Machine'],at,1090,121,3,True,6.348031895009381
1075,3608502,2020-03-26,Validation,0.241463765501976,2.537017732047878,True,0.14628754246979928,153.7017732047878,Negative,Very High,5TXxwRgdIS4gPjUtKwTuSb,['THE ROOP'],lt,32750,2,3,True,6.342544330119695
1076,2922130,2019-04-04,Training,0.24137985706329346,2.5361361206957,True,0.14620363403111672,153.61361206957,Positive,Very High,4SSnFejRGlZikf02HLewEF,['Billie Eilish'],global,27393218,5,3,True,6.34034030173925
1077,2013955,2015-01-11,Training,0.2413068264722824,2.5353688009945774,True,0.14613060344010567,153.53688009945773,Positive,Very High,34gCuhDGsG4bRPIf9bb02f,['Ed Sheeran'],cy,2235,1,3,True,6.3384220024864435
1078,2967925,2015-07-16,Training,0.24113211035728455,2.5335330892019505,True,0.1459558873251078,153.35330892019505,Negative,Very High,4WjH9Bzt3kx7z8kl0awxh4,"['Major Lazer', 'MØ', 'DJ Snake']",py,7698,1,3,True,6.3338327230048765
1079,4689430,2022-08-04,Test,0.24105134835188033,2.532684536876262,True,0.1458751253197036,153.2684536876262,Negative,Very High,6w8yBI2vthyN9UnwO4UBWb,"['Tiago PZK', 'LIT killah']",cr,40276,106,3,True,6.331711342190655
1080,1576547,2019-01-10,Training,0.24099783599376678,2.5321222918489985,True,0.14582161296159005,153.21222918489985,Positive,Very High,2RSHsoi04658QL5xgQVov3,['Imagine Dragons'],cz,58983,11,3,True,6.330305729622497
1081,3831655,2015-07-23,Training,0.24088825285434723,2.53097092088755,True,0.1457120298221705,153.097092088755,Positive,Very High,5ntbENj4mD1JanFRqWztSr,"['Don Omar', 'Natti Natasha']",ar,31326,154,3,True,6.327427302218876
