database_track_id,source_track_id,database_track_name,track_id,artists,name
21510,4K2pAuLsgtzVHru4WkQjJz,صنع في مصر (عشان انا حته تقيله ف البلد),4K2pAuLsgtzVHru4WkQjJz,['مسلم'],صنع في مصر (عشان انا حته تقيله ف البلد)
21519,6OaLn9ZEvDs3ijzFPLq4Zy,Yabdyat almhbt,6OaLn9ZEvDs3ijzFPLq4Zy,['محمد عبده'],Yabdyat almhbt
21589,6Hhia1Bqxhanv26AK6fonu,Україна переможе!,6Hhia1Bqxhanv26AK6fonu,"['Олександр Пономарьов', 'Михайло Хома', 'Тарас Тополя', 'Євген Кошовий', 'Юрій Ткач', 'Петро Чорний']",Україна переможе!
21678,3nqgEI17nKvQgSWTZZqS1z,東京一轉,3nqgEI17nKvQgSWTZZqS1z,['麗英'],東京一轉
21796,78NUnAsLzE6azxvuPDy9M7,君のまま,78NUnAsLzE6azxvuPDy9M7,"['百足', '韻マン']",君のまま
21894,6E6ZuFwsSRsMPVjzkrBpDk,По душам,6E6ZuFwsSRsMPVjzkrBpDk,['МОТ'],По душам
22060,6VcRonz2dMc0xgbi5R14HF,太空,6VcRonz2dMc0xgbi5R14HF,['吳青峰'],太空
22401,3ZVfvApOacqaWH6vlcdk3T,مختلفين,3ZVfvApOacqaWH6vlcdk3T,['محمد عبدالجبار&محمود الشاعري&علي البدر'],مختلفين
22503,1e2N6VRQPlZBII4ijovmm1,שלוותה,1e2N6VRQPlZBII4ijovmm1,['ענבל רז'],שלוותה
22508,0XxEtWW2SsRb93SOcURK1G,حب قلبي,0XxEtWW2SsRb93SOcURK1G,['بدر العزي'],حب قلبي
22515,2n4ayRLgOpoBW9yiIlLWui,陌生的地方,2n4ayRLgOpoBW9yiIlLWui,['陳彥允'],陌生的地方
22617,03jBontbv2DkRxsgLU8H4x,แค่เพื่อนมั้ง (Just Friend?) - เพลงประกอบซีรีส์ แค่เพื่อนครับเพื่อน BAD BUDDY SERIES,03jBontbv2DkRxsgLU8H4x,['นนน กรภัทร์'],แค่เพื่อนมั้ง (Just Friend?) - เพลงประกอบซีรีส์ แค่เพื่อนครับเพื่อน BAD BUDDY SERIES
