source_artist_label,match_status
"Tove Lo, Hippie Sabotage",artist_not_found
"Kelvin Jones, Faul & Wad",artist_not_found
"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",artist_not_found
"Ozuna, J Balvin, Chencho Corleone",artist_not_found
"Jhayco, Anuel AA",artist_not_found
"Robin Schulz, James Blunt",artist_not_found
"SLANDER, Dylan Matthew",artist_not_found
"zzoilo, Aitana",artist_not_found
"Beyoncé, JAY-Z",artist_not_found
"Rudimental, Ed Sheeran",artist_not_found
"Jay Chou, A-Mei Chang",artist_not_found
"FLY LO, Mike G",artist_not_found
"Martin Garrix, Bebe Rexha",artist_not_found
"Wisin, Michel Teló",artist_not_found
"Daddy Yankee, Bad Bunny",artist_not_found
"Young Thug, Travis Scott",artist_not_found
"DJ Khaled, Drake",artist_not_found
"Joel Corry, RAYE, David Guetta",artist_not_found
"Branco, Gilli",artist_not_found
"Keala Settle, The Greatest Showman Ensemble",artist_not_found
"Peking Duk, Nicole Millar",artist_not_found
"Bad Bunny, Sech",artist_not_found
"Jason Derulo, Jennifer Lopez, Matoma",artist_not_found
"Black Eyed Peas, J Balvin",artist_not_found
"Daniel Caesar, H.E.R.",artist_not_found
"Viktor Sheen, Yzomandias",artist_not_found
"Nicky Jam, Ozuna",artist_not_found
"Becky G, Paulo Londra",artist_not_found
"Charly Black, Daddy Yankee",artist_not_found
"Prince Royce, Shakira",artist_not_found
"Eladio Carrion, Zion & Lennox, Wisin & Yandel, Lunay",artist_not_found
"Reykon, Daddy Yankee",artist_not_found
"Carlos Vives, Marc Anthony",artist_not_found
"GIMS, Maluma",artist_not_found
"Mau y Ricky, Manuel Turizo, Camilo",artist_not_found
"Alex Rose, Rauw Alejandro, Lenny Tavárez, Cazzu, Lyanno",artist_not_found
"Lil Tjay, 6LACK",artist_not_found
"MEDUZA, Goodboys",artist_not_found
"Enrique Iglesias, Yandel, Juan Magán",artist_not_found
"J-AX, Fedez",artist_not_found
"Juan Magán, Belinda, Manuel Turizo, Snova, B-Case",artist_not_found
"Sean Paul, Dua Lipa",artist_not_found
"Farruko, Ky-Mani Marley",artist_not_found
Lifehouse,artist_not_found
"SIDARTA, ObieDaz, Pala Tranx",artist_not_found
"Juice WRLD, Halsey",artist_not_found
"Alesso, Roy English",artist_not_found
"Jidenna, Roman GianArthur",artist_not_found
"NLE Choppa, Roddy Ricch",artist_not_found
"The Rudeboyz, Jowell & Randy, Manuel Turizo",artist_not_found
"G-Eazy, Kehlani",artist_not_found
"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",artist_not_found
"Mente Fuerte, Young Montanas, Mad Clip, TOQUEL",artist_not_found
"NEIKED, Dyo",artist_not_found
"Jonas Blue, Dakota",artist_not_found
"The Chainsmokers, ROZES",artist_not_found
"MG, DJ Stephan, Gosei",artist_not_found
"A Great Big World, Christina Aguilera",artist_not_found
"Calvin Harris, Pharrell Williams, Katy Perry, Big Sean, Funk Wav",artist_not_found
"Chino & Nacho, Farruko, Arbise González",artist_not_found
"Spekti, Tasis",artist_not_found
"Dynoro, Gigi D'Agostino",artist_not_found
"Yandel, El General Gadiel",artist_not_found
"Liam Payne, Quavo",artist_not_found
"Bazzi, Camila Cabello",artist_not_found
"Devi Sri Prasad, Sid Sriram",artist_not_found
"Tinie Tempah, Jess Glynne",artist_not_found
"Kaka Azraff, SleeQ",artist_not_found
"Travis Scott, HVME",artist_not_found
"Ozuna, Romeo Santos",artist_not_found
"Bebe Rexha, Florida Georgia Line",artist_not_found
"Kevin Roldan, Nicky Jam",artist_not_found
"YEW, LANDOKMAI",artist_not_found
"Morat, Juanes",artist_not_found
"Mike Perry, shy martin",artist_not_found
"VIZE, Tom Gregory",artist_not_found
"Nick Jonas, Tinashe",artist_not_found
"Farruko, Shaggy, Nicky Jam",artist_not_found
"Manuel Turizo, Nicky Jam",artist_not_found
"Joey Montana, Sebastian Yatra",artist_not_found
"Jason Derulo, Snoop Dogg",artist_not_found
"IDK, Berechet",artist_not_found
"Reket, Manna",artist_not_found
