source_artist_label,source_artist_key,artist_count
"['Veigh', 'Nick Nash', 'Wylo', 'Nagalli', 'Supernova Ent', 'Kaash Paige']",017609b266407cf3d43a2094471ff600ab1ccd104e4be4597acbee52b71b8eec,6
"['Yasser Desai', 'Neha Kakkar', 'Rajat Nagpal']",109ed9a6bd9658589dfeeb35f56d96e63ad61bc519c7cf9214e28406e7ba79c9,3
"['Jaziel Avilez', 'Codiciado', 'Peso Pluma']",2e7033738f3cb688ca13d424c279d1ab422d2003e7dd69d590d1d11b39337efd,3
"['Gino Mella', 'Jairo Vera']",fd0a3331643670878662a958b8be6df463e58d59fd882edd1b0c1a82fd1a359f,2
"['Mohit Chauhan', 'Rochak Kohli']",1288d45e57aabf4ac4873eb314a34a8d29a27c62d8bde1726949c9049a94fade,2
"['Badshah', 'Tulsi Kumar', 'Abhijeet', 'Chandra Dixit', 'Tanishk Bagchi', 'Anand-Milind']",cc0053caff31caa98cabe0b39b5128b5c4b3aee28ea00691bcfd01adb4722831,6
"['Baggalútur', 'Jóhanna Guðrún']",f4357365664ae46a96a763f45169fc050a0db3bf9fc8ac4de75a0419d2172966,2
"['Mellow & Sleazy', 'Tman Xpress', 'Keynote']",5651c30bd42a5cdd4b6c9bc5ca74a05c5787374c229933bed51783d160e48ca4,3
"['Yuri Redicopa', 'Dj Bnão']",e8e7aaff7c13d122506518f6bcb051e94501c0b1ff11803fad2ed89a7bba6bdb,2
"['Avraham Tal', 'Eden Hason']",d80f1a67a58ba968a013f488e7a06660dbc2761a1dcae06b98352c1be5e58b5f,2
"['Franco ""El Gorilla""', 'De La Ghetto', 'Luigi 21 Plus', 'Ozuna']",da0b456c4f3436a7b4bea6be4df22d60109cc98d371d56dac91367f96f239428,4
"['Calvin Harris', 'Example']",53f0aa1a71f492564fdb1174558aae10b531979041fbe87de53ba35f90a4b6f2,2
"['JustaTee', 'Phuong Ly']",3361a6f4a67a7c6af61b0b18f1d0a849cb3c452b9ad48cce8d52f43793ba83c9,2
"['Eminem', 'Dina Rae']",d8a8d1bb535a10a5c23b7ecb0e13e7641a55c2a019800693d00c461c82110aa3,2
"['Sam Smith', 'Kim Petras']",0e92202feb3a9717a7de80a40da40b27f555ebaf7cbc518c0e7bd0b4c29f55db,2
"['Alex Kunnari', 'Heikki L', 'Joel Madden']",91ca0e01f5a6804bf95b61f2f97b7a5b43896be33ace9b9eb87124823710933c,3
"['Lwah Ndlunkulu', 'Siya Ntuli']",3d5539c9bd5f590cc83ad7a71998a8bf817eb662bdecd293ffd7fe680243b433,2
"['Tony Bennett', 'Lady Gaga']",ae0d930bd51b73eb7fbf0e9b10d1bb49cc01d442852e15c31c76b5aa1b8ecec4,2
"['Letan', 'Mesita', 'Franux BB']",7bf12fa705c9c0f56de759d11cfad51088747713395a05a59993e93205fdc621,3
"['MC Ryan SP', 'Mc Daniel', 'Kotim']",a0772da1bb8944a2f7e89fd7a21b25755851df0d355f3e6e6b56cb5e4cb49316,3
