source_track_id,track_name,artists_raw
07ipXN6CNTw34qwSYePKpg,Summer on You,['PRETTYMUCH']
07jwaA0nfuC2DmZd5n1l7t,Timeless,['TAEYEON']
07kS6GzBPkGUMmfgQUfMbE,Aku Yang Salah,['Elmatu']
07pMhv1V3S0E6Hmezmvg19,Fratello,"[""Rim'K""]"
07pUayx7i1415PoJvPX0S4,Athéna,['Ninho']
07piZvs54drv7466oPLTt0,Respuesta Cero,"['Quevedo', 'BlueFire']"
07pzk5h8p2qRowPZb3YBKC,10K,"['Bolémvn', 'Maes']"
07qSCcSVuVLHIf0gUSrUNW,Rewind,['NCT DREAM']
07qyw1D9R324YyFNZGUUdl,Cc,['Light']
07r32jNfQPQ4gQJRc3K17q,Carolina,"['REDVOLUTION', 'Ninho']"
07rJ9xLSbBKLwJHW73CApr,Boys Like You,"['Who Is Fancy', 'Meghan Trainor', 'Ariana Grande']"
07rSkV7lKcE09PEhZBQLxf,Uitweg,['Jonna Fraser']
07rsCOKXrIFfP7ufFunQId,GRAMMYS,"['Vargas', 'Tchubi']"
07tr2L4QuhCCZvwNoFDlTo,Yeniden,"['Cem Adrian', 'Şanışer']"
07uuo1yEND3oinbFZnYOvx,Sorry,['Kensington']
07vKCUDsNnwe0ZMjvTY4hX,Quizás,['Afaz Natural']
07w6jp4Fq8GGqhLoDYoVkb,Replay,['Maikel Delacalle']
07x6DYDUcqPSCnQzF1rNzq,Vant Til,"['PAY', 'NODE']"
080nnzzeeOts6GH9v4MsEt,AU,"['Białas', 'Sokół']"
0815caqt2Lytro5EIzMufT,You And Me,['Lifehouse']
08296C4KKLpfOKCuznfU8y,Mơ,"['Đen', 'Hậu Vi']"
082iFy3k8eLDN7kJX5BGMK,gangsta party,"['CAPTOWN', 'Landau']"
083649lhy9IXFdXP8Qpm3J,Daily Duppy - Part 1,['Digga D']
083Qf6hn6sFL6xiOHlZUyn,I'll Be There,['Jess Glynne']
083SgyA0q70YgdFpspNW9B,Scuze,"['Oscar', 'Ian', 'Aerozen', 'Amuly', 'Tussin']"
083xX4ioaAGnhO5xs0bpa8,Saint Laurent,['SLAVA MARLOW']
085C7WQ5RsTGaVyzrtYYaM,Contact,['Niro']
085lgcfCstjd3AjWDAt2OX,Games,['Luke Bryan']
089OcYjRRr1c6XRQClwXjv,Aquafina,['Madboiali']
08AN0HMXNr3DGGDCOWsTAw,Malibu,['Vegas Jones']
08AN9OsR8KGiMmztL3AlaJ,Fendi,['Thrife']
08BhfyKUXxZrnyHrDavNHP,The Christmas Waltz,['Tony Bennett']
08BiqanO41PJL0qjVz6Nto,Paris,['Killa Fonic']
08D5bPhVLw01WdNchYxsqg,Nu tändas tusen juleljus,['Carola']
08EPQiLMyGB8GJX2EiVoCM,Blaues Licht,"['RAF Camora', 'Bonez MC']"
08Isz2ETWSBhvIl8UpKYsp,No Love,['Shubh']
08JFTmVHiVYQWK7ttF4t5A,Plug,"['Yanix', 'PINQ', 'Thomas Mraz']"
